,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
277,There Is More (Instrumental),12,3MIB0wnALH7AysjWO8McNd,So Will I (100 Billion X) - Instrumental,spotify:track:3MIB0wnALH7AysjWO8McNd,0.000659,0.442,0.501,0.923,0.466,-10.768,0.03,128.042,0.0387,28
278,There Is More (Live),1,2lUgap86Pux7qAgvWzuJWs,Who You Say I Am - Live,spotify:track:2lUgap86Pux7qAgvWzuJWs,0.000278,0.269,0.666,0.0,0.609,-6.048,0.0362,171.722,0.226,59
279,There Is More (Live),2,2hMLGqwoxtgB6ZoYJmeqq5,You Are Life - Live,spotify:track:2hMLGqwoxtgB6ZoYJmeqq5,0.00576,0.558,0.854,0.0,0.714,-6.495,0.0432,115.004,0.279,39
280,There Is More (Live),3,6aLfDBncW19h8whgETITCe,The Passion - Live,spotify:track:6aLfDBncW19h8whgETITCe,0.00407,0.457,0.701,0.0,0.686,-6.586,0.0383,139.934,0.292,44
281,There Is More (Live),4,6zxC6X9gFM5uKWRVGVGt3I,God So Loved - Live,spotify:track:6zxC6X9gFM5uKWRVGVGt3I,0.0317,0.458,0.523,0.0,0.2,-7.568,0.0291,138.916,0.321,45
282,There Is More (Live),5,6OIzniRIlDqO4DQ6Way8P3,Be Still - Live,spotify:track:6OIzniRIlDqO4DQ6Way8P3,0.0571,0.336,0.438,2.25e-05,0.104,-9.478,0.0289,148.717,0.076,46
283,There Is More (Live),6,2Ht3ibUwkjZ8UskiTX2IUA,Remembrance - Live,spotify:track:2Ht3ibUwkjZ8UskiTX2IUA,0.223,0.376,0.504,1.9e-06,0.556,-8.087,0.0273,139.978,0.127,44
284,There Is More (Live),7,5AabNgdrUPZJlXYe6VESBH,Valentine - Live,spotify:track:5AabNgdrUPZJlXYe6VESBH,0.00202,0.359,0.527,0.0,0.106,-7.733,0.0323,81.019,0.0946,41
285,There Is More (Live),8,0pfm3xmeB1xNdTcKap5Jum,Touch Of Heaven - Live,spotify:track:0pfm3xmeB1xNdTcKap5Jum,0.133,0.4,0.438,0.0,0.104,-7.934,0.0295,134.893,0.221,53
286,There Is More (Live),9,3H1IeVpq0rRoChHqshYD85,Lettered Love - Live,spotify:track:3H1IeVpq0rRoChHqshYD85,0.184,0.484,0.525,6e-06,0.675,-9.751,0.0294,92.021,0.273,38
287,There Is More (Live),10,17mdh3I1FEqBhjvgKgAcGD,The Lord's Prayer - Live,spotify:track:17mdh3I1FEqBhjvgKgAcGD,0.00729,0.353,0.539,0.0,0.831,-7.997,0.0309,137.96,0.129,41
288,There Is More (Live),11,1MX4dx6yNvAH2GjIVsUF4h,New Wine - Live,spotify:track:1MX4dx6yNvAH2GjIVsUF4h,0.065,0.377,0.31,0.0,0.114,-10.067,0.029,140.212,0.145,53
289,There Is More (Live),12,1dnNDM04yKaJl0tQ34TUXd,So Will I (100 Billion X) - Live,spotify:track:1dnNDM04yKaJl0tQ34TUXd,0.00568,0.308,0.581,0.0,0.698,-8.509,0.0338,127.233,0.103,50
290,There Is More (Live),13,2rmmBhg4YB9wE6oSdYIcF1,Seasons - Live,spotify:track:2rmmBhg4YB9wE6oSdYIcF1,0.0306,0.224,0.537,0.0,0.673,-7.474,0.0413,145.866,0.113,44
291,There Is More (Live),14,51Q6EroQAuMerQf0Nvfrdh,Who You Say I Am - Live/Acoustic,spotify:track:51Q6EroQAuMerQf0Nvfrdh,0.246,0.373,0.27,0.0,0.0778,-11.518,0.0273,171.577,0.15,42
292,There Is More (Live),15,52pWX2yqr5nl5ZQeP4bj0M,Remembrance - Live/Acoustic,spotify:track:52pWX2yqr5nl5ZQeP4bj0M,0.821,0.523,0.194,0.0,0.107,-13.744,0.0302,139.923,0.116,44
293,There Is More (Live),16,2WZxGKwbxjizNdwjYryw8f,Touch Of Heaven - Live/Acoustic,spotify:track:2WZxGKwbxjizNdwjYryw8f,0.878,0.531,0.1,0.0,0.106,-13.916,0.0314,134.806,0.096,45
294,There Is More (Live),17,6ZYcJRAh9zlbEbKmlD4ySK,The Passion - Live/Acoustic,spotify:track:6ZYcJRAh9zlbEbKmlD4ySK,0.293,0.394,0.411,0.0,0.234,-9.629,0.0291,69.455,0.171,40
295,There Is More,1,50lW1fKoDtyKaiR2bR7ksl,Who You Say I Am,spotify:track:50lW1fKoDtyKaiR2bR7ksl,0.000292,0.271,0.669,0.0,0.61,-6.046,0.0362,171.911,0.21,64
296,There Is More,2,732IGuPmiz5jt3iasSLlFi,You Are Life,spotify:track:732IGuPmiz5jt3iasSLlFi,0.00571,0.558,0.858,0.0,0.715,-6.5,0.0431,114.992,0.269,43
297,There Is More,3,69bi9FkxOVP5nI7VadHKjp,The Passion,spotify:track:69bi9FkxOVP5nI7VadHKjp,0.00426,0.464,0.694,0.0,0.686,-6.593,0.0362,139.916,0.288,48
298,There Is More,4,7pV7A75agkBv5Vnl3PqvwD,God So Loved,spotify:track:7pV7A75agkBv5Vnl3PqvwD,0.0267,0.454,0.525,0.0,0.2,-7.567,0.0284,138.932,0.329,50
299,There Is More,5,1LnhZGHXR4RJowuNz3wb1L,Be Still,spotify:track:1LnhZGHXR4RJowuNz3wb1L,0.0601,0.352,0.433,2.36e-05,0.103,-9.485,0.0285,148.738,0.0771,51
300,There Is More,6,39j8vHnmQYpN87ifGIK7UK,Remembrance,spotify:track:39j8vHnmQYpN87ifGIK7UK,0.229,0.365,0.51,1.73e-06,0.554,-8.067,0.0276,139.854,0.13,48
301,There Is More,7,0oe9sIcwjodrYVHOSfT5Y6,Valentine,spotify:track:0oe9sIcwjodrYVHOSfT5Y6,0.00189,0.228,0.527,0.0,0.106,-7.72,0.0359,161.463,0.0843,47
302,There Is More,8,0X7KcOQdOeAuHQjURq0PVL,Touch Of Heaven,spotify:track:0X7KcOQdOeAuHQjURq0PVL,0.131,0.399,0.438,0.0,0.105,-7.947,0.0297,134.863,0.211,54
303,There Is More,9,5FQxCrphg2xjAhNzUXRQxc,Lettered Love,spotify:track:5FQxCrphg2xjAhNzUXRQxc,0.182,0.333,0.52,6.28e-06,0.673,-9.746,0.0315,91.983,0.259,45
304,There Is More,10,4JSHSBPIwUMzjF6v1jWLdi,The Lord's Prayer,spotify:track:4JSHSBPIwUMzjF6v1jWLdi,0.00744,0.35,0.537,0.0,0.831,-8.012,0.0311,137.92,0.123,47
305,There Is More,11,5OMpZa1m8amJy7ICItG1Sc,New Wine,spotify:track:5OMpZa1m8amJy7ICItG1Sc,0.0658,0.362,0.307,0.0,0.114,-10.056,0.0293,140.055,0.154,56
306,There Is More,12,3ebqpN2hFJNeTuTTI5G0nd,So Will I (100 Billion X),spotify:track:3ebqpN2hFJNeTuTTI5G0nd,0.00594,0.307,0.587,0.0,0.698,-8.503,0.0343,127.551,0.0981,57
307,There Is More,13,5dvZzijbqmJ0lgUq9j9eG3,Seasons (Live) - Bonus,spotify:track:5dvZzijbqmJ0lgUq9j9eG3,0.029,0.275,0.538,0.0,0.673,-7.42,0.0372,145.685,0.101,47
308,There Is More,14,5GpIzOMAMHws2xOSjoyYj1,Who You Say I Am (Live Acoustic) - Bonus,spotify:track:5GpIzOMAMHws2xOSjoyYj1,0.257,0.378,0.285,0.0,0.078,-11.503,0.0271,171.865,0.175,47
309,There Is More,15,4nL5eZM7nlC8cyQfKKYZQZ,Remembrance (Live Acoustic) - Bonus,spotify:track:4nL5eZM7nlC8cyQfKKYZQZ,0.812,0.522,0.199,0.0,0.107,-13.736,0.0301,140.033,0.107,47
310,There Is More,16,3az1K7WlXr9OLsVUivPlxx,Touch Of Heaven (Live Acoustic) - Bonus,spotify:track:3az1K7WlXr9OLsVUivPlxx,0.879,0.498,0.103,0.0,0.106,-13.925,0.0317,134.852,0.108,48
